Title,Authors,Year,Venue
A method to analyze computer science students’ teamwork in online collaborative learning environments,"Rebecca Vivian, Katrina Falkner, Nickolas Falkner et al.",2016,ACM Transactions on Computing Education
Academy-industry collaboration and the effects of the involvement of undergraduate students in real world activities,"Elaine Venson, Rejane Figueiredo, Wander Silva et al.",2016,2016 IEEE Frontiers in Education Conference (FIE)
Applying scrum project management in ECE curriculum,"Robert B. Bass, Branimir Pejcinovic, John Grant",2016,2016 IEEE Frontiers in Education Conference (FIE)
CapStone: a cloud-based platform for multiparty collaboration on capstone projects,Xiaocong Fan,2016,2016 IEEE Frontiers in Education Conference (FIE)
Collaboration and human factors in software development: teaching agile methodologies based on industrial insight,"Martin Kropp, Andreas Meier",2016,2016 IEEE Global Engineering Education Conference (EDUCON)
Collaboration support in an international computer science capstone course,"Robert Adams, Carsten Kleiner",2016,Social computing and social media
Developing diversity awareness of software engineers: a diversity framework and its application in an academic and life-long learning context,"Christina Bohm, Renate Motschnig",2016,2016 IEEE Frontiers in Education Conference (FIE)
Distributed software development with one hand tied behind the back: a course unit to experience the role of communication in GSD,"Marco Kuhrmann, Jurgen Munch",2016,2016 IEEE 11th International Conference on Global Software Engineering Workshops (ICGSEW)
Enhancing the students project with team based learning approach: a case study,"Shivalingappa Battur, Mahesh S. Patil, Padmashree Desai et al.",2016,"2016 IEEE 4th International Conference on MOOCs, Innovation and Technology in Education (MITE)"
Evaluating student teams: do educators know what students think?,"Anya Tafliovich, Andrew Petersen, Jennifer Campbell",2016,Proceedings of the 47th ACM Technical Symposium on Computing Science Education
Evaluation of teamwork competence acquisition by using CTMTC methodology and learning analytics techniques,"Miguel Á. Conde, Francisco J. Rodríguez-Sedano, Lidia Sánchez-González et al.",2016,Proceedings of the Fourth International Conference on Technological Ecosystems for Enhancing Multiculturality
Evaluation of the CTMTC methodology for assessment of teamwork competence development and acquisition in higher education,"Miguel Á. Conde, Ángel Hernández-García, Francisco J. García-Peñalvo et al.",2016,Learning and collaboration technologies
Experience report of teaching agile collaboration and values: agile software development in large student teams,"Andreas Meier, Martin Kropp, Gerald Perellano",2016,2016 IEEE 29th International Conference on Software Engineering Education and Training (CSEET)
Experience report: guiding faculty & students to participate in humanitarian FOSS communities,Clifton Kussmaul,2016,2016 IEEE Eighth International Conference on Technology for Education (T4E)
Exploration of participation in student software engineering teams,"Linda Marshall, Vreda Pieterse, Lisa Thompson et al.",2016,ACM Transactions on Computing Education
Green-lighting proposals for software engineering team-based project courses,"Todd Sedano, Arthi Rengasamy, Cecile Peraire",2016,2016 IEEE 29th International Conference on Software Engineering Education and Training (CSEET)
Improving learning outcomes through systematic group reformation: the role of skills and personality in software engineering education,"Amir Mujkanovic, Andreas Bollin",2016,Proceedings of the 9th International Workshop on Cooperative and Human Aspects of Software Engineering
Integrated development of technical and base competencies: fostering reflection skills in software engineers to be,"Veronika Thurner, Kathrin Schlierkamp, Axel Bottcher et al.",2016,2016 IEEE Global Engineering Education Conference (EDUCON)
Investigation of a team-based activity support system used in a project-based learning course,"Tessai Hayama, Saki Hayashi, Yuichi Kondo",2016,"2016 11th International Conference on Knowledge, Information and Creativity Support Systems (KICSS)"
Learning effectiveness of team discussions in various software engineering education courses,"Masashi Shuto, Hironori Washizaki, Katsuhiko Kakehi et al.",2016,2016 IEEE 29th International Conference on Software Engineering Education and Training (CSEET)
"Learning to program: gender differences and interactive effects of students’ motivation, goals, and self-efficacy on performance","Alex Lishinski, Aman Yadav, Jon Good et al.",2016,Proceedings of the 2016 ACM Conference on International Computing Education Research
Project-based learning with examples from industry in university courses: an experience report from an undergraduate requirements engineering course,"Marian Daun, Andrea Salmon, Thorsten Weyer et al.",2016,2016 IEEE 29th International Conference on Software Engineering Education and Training (CSEET)
Reflection is hard: teaching and learning reflective practice in a software studio,"Julia Prior, Samuel Ferguson, John Leaney",2016,Proceedings of the Australasian Computer Science Week Multiconference
Software project management as team building intervention,"Mohammad Khalid Shaikh, Akhtar Raza, Kamran Ahsan",2016,Journal of Basic & Applied Sciences
Using the random forest classifier to assess and predict student learning of software engineering teamwork,"Dragutin Petkovic, Marc Sosnick-Perez, Kazunori Okada et al.",2016,2016 IEEE Frontiers in Education Conference (FIE)
What communication tools students use in software projects and how do different tools suit different parts of project work?,"Otto Seppälä, Tapio Auvinen, Ville Karavirta et al.",2016,Proceedings of the 38th International Conference on Software Engineering Companion
When teams go crazy: an environment to experience group dynamics in software project management courses,"Marco Kuhrmann, Jürgen Münch",2016,Proceedings of the 38th International Conference on Software Engineering Companion
Why computing students learn on their own: motivation for self-directed learning of computing,"Robert McCartney, Jonas Boustedt, Anna Eckerdal et al.",2016,ACM Transactions on Computing Education
A holistic capstone experience: beyond technical ability,"Andrew Scott, William Kreahling, Mark Holliday et al.",2017,Proceedings of the 18th Annual Conference on Information Technology Education
Agile learning: sprinting through the semester,Guido Lang,2017,Information Systems Education Journal
Agile manifesto for teaching and learning,"Timothy C Krehbiel, Peter A Salzarulo, Michelle L Cosmah et al.",2017,Journal of Effective Teaching
Analysing and measuring students’ experiences,"Evangelia Krassadaki, Nikolaos F. Matsatsinis",2017,2017 IEEE Global Engineering Education Conference (EDUCON)
Bad blood: managing toxic relationships through Belbin roles for first year software engineering students,Wai Sze Leung,2017,Proceedings of the 3rd International Conference on Communication and Information Processing
Blending communities and team-based learning in a programming course,"Ignacio Cabrera, Jorge Villalon, Jorge Chavez",2017,IEEE Transactions on Education
CCNY joint senior design program in assistive technology across department boundaries,"Zhigang Zhu, Jizhong Xiao",2017,2017 IEEE Integrated STEM Education Conference (ISEC)
Conflict problem solving in digital technology: a case study in virtual teamwork for online learning,"Murty Magda Pane, Christian Siregar, Hari Sriyanto",2017,Proceedings of the 1st International Conference on Digital Technology in Education
